74037 silly lifecycle resolve@1.5.0~preinstall: no script for preinstall, continuing
76806 verbose linkMans ansi-regex@2.1.1
76807 silly build ansicolors@0.3.2
76808 info linkStuff ansicolors@0.3.2
76809 silly linkStuff ansicolors@0.3.2 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
76810 verbose linkBins ansicolors@0.3.2
76811 verbose linkMans ansicolors@0.3.2
76812 silly build ansistyles@0.1.3
76813 info linkStuff ansistyles@0.1.3
76814 silly linkStuff ansistyles@0.1.3 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
76815 verbose linkBins ansistyles@0.1.3
76816 verbose linkMans ansistyles@0.1.3
76817 silly build aproba@1.1.1
76818 info linkStuff aproba@1.1.1
76819 silly linkStuff aproba@1.1.1 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
76820 verbose linkBins aproba@1.1.1
76821 verbose linkMans aproba@1.1.1
76822 silly build archy@1.0.0
76823 info linkStuff archy@1.0.0
76824 silly linkStuff archy@1.0.0 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
76825 verbose linkBins archy@1.0.0
76826 verbose linkMans archy@1.0.0
76827 silly build asap@2.0.5
76828 info linkStuff asap@2.0.5
76829 silly linkStuff asap@2.0.5 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
76830 verbose linkBins asap@2.0.5
76831 verbose linkMans asap@2.0.5
76832 silly build chownr@1.0.1
76833 info linkStuff chownr@1.0.1
76834 silly linkStuff chownr@1.0.1 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
76835 verbose linkBins chownr@1.0.1
76836 verbose linkMans chownr@1.0.1
76837 silly build clone@1.0.2
76838 info linkStuff clone@1.0.2
76839 silly linkStuff clone@1.0.2 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/columnify/node_modules/wcwidth/node_modules/defaults/node_modules as its parent node_modules
76840 verbose linkBins clone@1.0.2
76841 verbose linkMans clone@1.0.2
76842 silly build defaults@1.0.3
76843 info linkStuff defaults@1.0.3
76844 silly linkStuff defaults@1.0.3 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/columnify/node_modules/wcwidth/node_modules as its parent node_modules
76845 verbose linkBins defaults@1.0.3
76846 verbose linkMans defaults@1.0.3
76847 silly build wcwidth@1.0.0
76848 info linkStuff wcwidth@1.0.0
76849 silly linkStuff wcwidth@1.0.0 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/columnify/node_modules as its parent node_modules
76850 verbose linkBins wcwidth@1.0.0
76851 verbose linkMans wcwidth@1.0.0
76852 silly build proto-list@1.2.4
76853 info linkStuff proto-list@1.2.4
76854 silly linkStuff proto-list@1.2.4 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/config-chain/node_modules as its parent node_modules
76855 verbose linkBins proto-list@1.2.4
76856 verbose linkMans proto-list@1.2.4
76857 silly build debuglog@1.0.1
76858 info linkStuff debuglog@1.0.1
76859 silly linkStuff debuglog@1.0.1 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
76860 verbose linkBins debuglog@1.0.1
76861 verbose linkMans debuglog@1.0.1
76862 silly build editor@1.0.0
76863 info linkStuff editor@1.0.0
76864 silly linkStuff editor@1.0.0 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
76865 verbose linkBins editor@1.0.0
76866 verbose linkMans editor@1.0.0
76867 silly build balanced-match@0.4.2
76868 info linkStuff balanced-match@0.4.2
76869 silly linkStuff balanced-match@0.4.2 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/fstream-npm/node_modules/fstream-ignore/node_modules/minimatch/node_modules/brace-expansion/node_modules as its parent node_modules
76870 verbose linkBins balanced-match@0.4.2
76871 verbose linkMans balanced-match@0.4.2
76872 silly build concat-map@0.0.1
76873 info linkStuff concat-map@0.0.1
76874 silly linkStuff concat-map@0.0.1 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/fstream-npm/node_modules/fstream-ignore/node_modules/minimatch/node_modules/brace-expansion/node_modules as its parent node_modules
76875 verbose linkBins concat-map@0.0.1
76876 verbose linkMans concat-map@0.0.1
76877 silly build brace-expansion@1.1.6
76878 info linkStuff brace-expansion@1.1.6
76879 silly linkStuff brace-expansion@1.1.6 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/fstream-npm/node_modules/fstream-ignore/node_modules/minimatch/node_modules as its parent node_modules
76880 verbose linkBins brace-expansion@1.1.6
76881 verbose linkMans brace-expansion@1.1.6
76882 silly build minimatch@3.0.3
76883 info linkStuff minimatch@3.0.3
76884 silly linkStuff minimatch@3.0.3 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/fstream-npm/node_modules/fstream-ignore/node_modules as its parent node_modules
76885 verbose linkBins minimatch@3.0.3
76886 verbose linkMans minimatch@3.0.3
76887 silly build fs.realpath@1.0.0
76888 info linkStuff fs.realpath@1.0.0
76889 silly linkStuff fs.realpath@1.0.0 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/glob/node_modules as its parent node_modules
76890 verbose linkBins fs.realpath@1.0.0
76891 verbose linkMans fs.realpath@1.0.0
76892 silly build balanced-match@0.4.2
76893 info linkStuff balanced-match@0.4.2
76894 silly linkStuff balanced-match@0.4.2 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/glob/node_modules/minimatch/node_modules/brace-expansion/node_modules as its parent node_modules
76895 verbose linkBins balanced-match@0.4.2
76896 verbose linkMans balanced-match@0.4.2
76897 silly build concat-map@0.0.1
76898 info linkStuff concat-map@0.0.1
76899 silly linkStuff concat-map@0.0.1 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/glob/node_modules/minimatch/node_modules/brace-expansion/node_modules as its parent node_modules
76900 verbose linkBins concat-map@0.0.1
76901 verbose linkMans concat-map@0.0.1
76902 silly build brace-expansion@1.1.6
76903 info linkStuff brace-expansion@1.1.6
76904 silly linkStuff brace-expansion@1.1.6 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/glob/node_modules/minimatch/node_modules as its parent node_modules
76905 verbose linkBins brace-expansion@1.1.6
76906 verbose linkMans brace-expansion@1.1.6
76907 silly build minimatch@3.0.3
76908 info linkStuff minimatch@3.0.3
76909 silly linkStuff minimatch@3.0.3 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/glob/node_modules as its parent node_modules
76910 verbose linkBins minimatch@3.0.3
76911 verbose linkMans minimatch@3.0.3
76912 silly build path-is-absolute@1.0.1
76913 info linkStuff path-is-absolute@1.0.1
76914 silly linkStuff path-is-absolute@1.0.1 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/glob/node_modules as its parent node_modules
76915 verbose linkBins path-is-absolute@1.0.1
76916 verbose linkMans path-is-absolute@1.0.1
76917 silly build graceful-fs@4.1.11
76918 info linkStuff graceful-fs@4.1.11
76919 silly linkStuff graceful-fs@4.1.11 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
76920 verbose linkBins graceful-fs@4.1.11
76921 verbose linkMans graceful-fs@4.1.11
76922 silly build has-unicode@2.0.1
76923 info linkStuff has-unicode@2.0.1
76924 silly linkStuff has-unicode@2.0.1 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
76925 verbose linkBins has-unicode@2.0.1
76926 verbose linkMans has-unicode@2.0.1
76927 silly build hosted-git-info@2.2.0
76928 info linkStuff hosted-git-info@2.2.0
76929 silly linkStuff hosted-git-info@2.2.0 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
76930 verbose linkBins hosted-git-info@2.2.0
76931 verbose linkMans hosted-git-info@2.2.0
76932 silly build iferr@0.1.5
76933 info linkStuff iferr@0.1.5
76934 silly linkStuff iferr@0.1.5 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
76935 verbose linkBins iferr@0.1.5
76936 verbose linkMans iferr@0.1.5
76937 silly build imurmurhash@0.1.4
76938 info linkStuff imurmurhash@0.1.4
76939 silly linkStuff imurmurhash@0.1.4 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
76940 verbose linkBins imurmurhash@0.1.4
76941 verbose linkMans imurmurhash@0.1.4
76942 silly build inherits@2.0.3
76943 info linkStuff inherits@2.0.3
76944 silly linkStuff inherits@2.0.3 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
76945 verbose linkBins inherits@2.0.3
76946 verbose linkMans inherits@2.0.3
76947 silly build ini@1.3.4
76948 info linkStuff ini@1.3.4
76949 silly linkStuff ini@1.3.4 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
76950 verbose linkBins ini@1.3.4
76951 verbose linkMans ini@1.3.4
76952 silly build config-chain@1.1.11
76953 info linkStuff config-chain@1.1.11
76954 silly linkStuff config-chain@1.1.11 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
76955 verbose linkBins config-chain@1.1.11
76956 verbose linkMans config-chain@1.1.11
76957 silly build balanced-match@0.4.2
76958 info linkStuff balanced-match@0.4.2
76959 silly linkStuff balanced-match@0.4.2 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/init-package-json/node_modules/glob/node_modules/minimatch/node_modules/brace-expansion/node_modules as its parent node_modules
76960 verbose linkBins balanced-match@0.4.2
76961 verbose linkMans balanced-match@0.4.2
76962 silly build concat-map@0.0.1
76963 info linkStuff concat-map@0.0.1
76964 silly linkStuff concat-map@0.0.1 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/init-package-json/node_modules/glob/node_modules/minimatch/node_modules/brace-expansion/node_modules as its parent node_modules
76965 verbose linkBins concat-map@0.0.1
76966 verbose linkMans concat-map@0.0.1
76967 silly build brace-expansion@1.1.6
76968 info linkStuff brace-expansion@1.1.6
76969 silly linkStuff brace-expansion@1.1.6 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/init-package-json/node_modules/glob/node_modules/minimatch/node_modules as its parent node_modules
76970 verbose linkBins brace-expansion@1.1.6
76971 verbose linkMans brace-expansion@1.1.6
76972 silly build minimatch@3.0.3
76973 info linkStuff minimatch@3.0.3
76974 silly linkStuff minimatch@3.0.3 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/init-package-json/node_modules/glob/node_modules as its parent node_modules
76975 verbose linkBins minimatch@3.0.3
76976 verbose linkMans minimatch@3.0.3
76977 silly build path-is-absolute@1.0.0
76978 info linkStuff path-is-absolute@1.0.0
76979 silly linkStuff path-is-absolute@1.0.0 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/init-package-json/node_modules/glob/node_modules as its parent node_modules
76980 verbose linkBins path-is-absolute@1.0.0
76981 verbose linkMans path-is-absolute@1.0.0
76982 silly build builtins@0.0.7
76983 info linkStuff builtins@0.0.7
76984 silly linkStuff builtins@0.0.7 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/init-package-json/node_modules/validate-npm-package-name/node_modules as its parent node_modules
76985 verbose linkBins builtins@0.0.7
76986 verbose linkMans builtins@0.0.7
76987 silly build validate-npm-package-name@2.2.2
76988 info linkStuff validate-npm-package-name@2.2.2
76989 silly linkStuff validate-npm-package-name@2.2.2 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/init-package-json/node_modules as its parent node_modules
76990 verbose linkBins validate-npm-package-name@2.2.2
76991 verbose linkMans validate-npm-package-name@2.2.2
76992 silly build jsonparse@1.2.0
76993 info linkStuff jsonparse@1.2.0
76994 silly linkStuff jsonparse@1.2.0 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/JSONStream/node_modules as its parent node_modules
76995 verbose linkBins jsonparse@1.2.0
76996 verbose linkMans jsonparse@1.2.0
76997 silly build through@2.3.8
76998 info linkStuff through@2.3.8
76999 silly linkStuff through@2.3.8 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/JSONStream/node_modules as its parent node_modules
77000 verbose linkBins through@2.3.8
77001 verbose linkMans through@2.3.8
77002 silly build JSONStream@1.3.0
77003 info linkStuff JSONStream@1.3.0
77004 silly linkStuff JSONStream@1.3.0 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
77005 verbose linkBins JSONStream@1.3.0
77006 verbose link bins [ { JSONStream: './index.js' },
77006 verbose link bins   '/home/curtis/github/CurtLH/node_modules/npm/node_modules/.bin',
77006 verbose link bins   false ]
77007 verbose linkMans JSONStream@1.3.0
77008 silly gentlyRm /home/curtis/github/CurtLH/node_modules/npm/node_modules/.bin/JSONStream is being purged
77009 verbose gentlyRm don't care about contents; nuking /home/curtis/github/CurtLH/node_modules/npm/node_modules/.bin/JSONStream
77010 silly build lazy-property@1.0.0
77011 info linkStuff lazy-property@1.0.0
77012 silly linkStuff lazy-property@1.0.0 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
77013 verbose linkBins lazy-property@1.0.0
77014 verbose linkMans lazy-property@1.0.0
77015 silly build lockfile@1.0.3
77016 info linkStuff lockfile@1.0.3
77017 silly linkStuff lockfile@1.0.3 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
77018 verbose linkBins lockfile@1.0.3
77019 verbose linkMans lockfile@1.0.3
77020 silly build lodash._baseindexof@3.1.0
77021 info linkStuff lodash._baseindexof@3.1.0
77022 silly linkStuff lodash._baseindexof@3.1.0 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
77023 verbose linkBins lodash._baseindexof@3.1.0
77024 verbose linkMans lodash._baseindexof@3.1.0
77025 silly build lodash._createset@4.0.3
77026 info linkStuff lodash._createset@4.0.3
77027 silly linkStuff lodash._createset@4.0.3 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/lodash._baseuniq/node_modules as its parent node_modules
77028 verbose linkBins lodash._createset@4.0.3
77029 verbose linkMans lodash._createset@4.0.3
77030 silly build lodash._root@3.0.1
77031 info linkStuff lodash._root@3.0.1
77032 silly linkStuff lodash._root@3.0.1 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/lodash._baseuniq/node_modules as its parent node_modules
77033 verbose linkBins lodash._root@3.0.1
77034 verbose linkMans lodash._root@3.0.1
77035 silly build lodash._baseuniq@4.6.0
77036 info linkStuff lodash._baseuniq@4.6.0
77037 silly linkStuff lodash._baseuniq@4.6.0 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
77038 verbose linkBins lodash._baseuniq@4.6.0
77039 verbose linkMans lodash._baseuniq@4.6.0
77040 silly build lodash._bindcallback@3.0.1
77041 info linkStuff lodash._bindcallback@3.0.1
77042 silly linkStuff lodash._bindcallback@3.0.1 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
77043 verbose linkBins lodash._bindcallback@3.0.1
77044 verbose linkMans lodash._bindcallback@3.0.1
77045 silly build lodash._cacheindexof@3.0.2
77046 info linkStuff lodash._cacheindexof@3.0.2
77047 silly linkStuff lodash._cacheindexof@3.0.2 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
77048 verbose linkBins lodash._cacheindexof@3.0.2
77049 verbose linkMans lodash._cacheindexof@3.0.2
77050 silly build lodash._getnative@3.9.1
77051 info linkStuff lodash._getnative@3.9.1
77052 silly linkStuff lodash._getnative@3.9.1 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
77053 verbose linkBins lodash._getnative@3.9.1
77054 verbose linkMans lodash._getnative@3.9.1
77055 silly build lodash._createcache@3.1.2
77056 info linkStuff lodash._createcache@3.1.2
77057 silly linkStuff lodash._createcache@3.1.2 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
77058 verbose linkBins lodash._createcache@3.1.2
77059 verbose linkMans lodash._createcache@3.1.2
77060 silly build lodash.clonedeep@4.5.0
77061 info linkStuff lodash.clonedeep@4.5.0
77062 silly linkStuff lodash.clonedeep@4.5.0 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
77063 verbose linkBins lodash.clonedeep@4.5.0
77064 verbose linkMans lodash.clonedeep@4.5.0
77065 silly build lodash.restparam@3.6.1
77066 info linkStuff lodash.restparam@3.6.1
77067 silly linkStuff lodash.restparam@3.6.1 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
77068 verbose linkBins lodash.restparam@3.6.1
77069 verbose linkMans lodash.restparam@3.6.1
77070 silly build lodash.union@4.6.0
77071 info linkStuff lodash.union@4.6.0
77072 silly linkStuff lodash.union@4.6.0 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
77073 verbose linkBins lodash.union@4.6.0
77074 verbose linkMans lodash.union@4.6.0
77075 silly build lodash.uniq@4.5.0
77076 info linkStuff lodash.uniq@4.5.0
77077 silly linkStuff lodash.uniq@4.5.0 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
77078 verbose linkBins lodash.uniq@4.5.0
77079 verbose linkMans lodash.uniq@4.5.0
77080 silly build lodash.without@4.4.0
77081 info linkStuff lodash.without@4.4.0
77082 silly linkStuff lodash.without@4.4.0 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
77083 verbose linkBins lodash.without@4.4.0
77084 verbose linkMans lodash.without@4.4.0
77085 silly build typedarray@0.0.6
77086 info linkStuff typedarray@0.0.6
77087 silly linkStuff typedarray@0.0.6 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/mississippi/node_modules/concat-stream/node_modules as its parent node_modules
77088 verbose linkBins typedarray@0.0.6
77089 verbose linkMans typedarray@0.0.6
77090 silly build stream-shift@1.0.0
77091 info linkStuff stream-shift@1.0.0
77092 silly linkStuff stream-shift@1.0.0 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/mississippi/node_modules/duplexify/node_modules as its parent node_modules
77093 verbose linkBins stream-shift@1.0.0
77094 verbose linkMans stream-shift@1.0.0
77095 silly build cyclist@0.2.2
77096 info linkStuff cyclist@0.2.2
77097 silly linkStuff cyclist@0.2.2 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/mississippi/node_modules/parallel-transform/node_modules as its parent node_modules
77098 verbose linkBins cyclist@0.2.2
77099 verbose linkMans cyclist@0.2.2
77100 silly build stream-shift@1.0.0
77101 info linkStuff stream-shift@1.0.0
77102 silly linkStuff stream-shift@1.0.0 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/mississippi/node_modules/stream-each/node_modules as its parent node_modules
77103 verbose linkBins stream-shift@1.0.0
77104 verbose linkMans stream-shift@1.0.0
77105 silly build xtend@4.0.1
77106 info linkStuff xtend@4.0.1
77107 silly linkStuff xtend@4.0.1 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/mississippi/node_modules/through2/node_modules as its parent node_modules
77108 verbose linkBins xtend@4.0.1
77109 verbose linkMans xtend@4.0.1
77110 silly build minimist@0.0.8
77111 info linkStuff minimist@0.0.8
77112 silly linkStuff minimist@0.0.8 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/mkdirp/node_modules as its parent node_modules
77113 verbose linkBins minimist@0.0.8
77114 verbose linkMans minimist@0.0.8
77115 silly build mkdirp@0.5.1
77116 info linkStuff mkdirp@0.5.1
77117 silly linkStuff mkdirp@0.5.1 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
77118 verbose linkBins mkdirp@0.5.1
77119 verbose link bins [ { mkdirp: 'bin/cmd.js' },
77119 verbose link bins   '/home/curtis/github/CurtLH/node_modules/npm/node_modules/.bin',
77119 verbose link bins   false ]
77120 verbose linkMans mkdirp@0.5.1
77121 silly gentlyRm /home/curtis/github/CurtLH/node_modules/npm/node_modules/.bin/mkdirp is being purged
77122 verbose gentlyRm don't care about contents; nuking /home/curtis/github/CurtLH/node_modules/npm/node_modules/.bin/mkdirp
77123 silly build cmd-shim@2.0.2
77124 info linkStuff cmd-shim@2.0.2
77125 silly linkStuff cmd-shim@2.0.2 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
77126 verbose linkBins cmd-shim@2.0.2
77127 verbose linkMans cmd-shim@2.0.2
77128 silly build balanced-match@0.4.2
77129 info linkStuff balanced-match@0.4.2
77130 silly linkStuff balanced-match@0.4.2 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/node-gyp/node_modules/minimatch/node_modules/brace-expansion/node_modules as its parent node_modules
77131 verbose linkBins balanced-match@0.4.2
77132 verbose linkMans balanced-match@0.4.2
77133 silly build concat-map@0.0.1
77134 info linkStuff concat-map@0.0.1
77135 silly linkStuff concat-map@0.0.1 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/node-gyp/node_modules/minimatch/node_modules/brace-expansion/node_modules as its parent node_modules
77136 verbose linkBins concat-map@0.0.1
77137 verbose linkMans concat-map@0.0.1
77138 silly build brace-expansion@1.1.6
77139 info linkStuff brace-expansion@1.1.6
77140 silly linkStuff brace-expansion@1.1.6 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/node-gyp/node_modules/minimatch/node_modules as its parent node_modules
77141 verbose linkBins brace-expansion@1.1.6
77142 verbose linkMans brace-expansion@1.1.6
77143 silly build minimatch@3.0.3
77144 info linkStuff minimatch@3.0.3
77145 silly linkStuff minimatch@3.0.3 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/node-gyp/node_modules as its parent node_modules
77146 verbose linkBins minimatch@3.0.3
77147 verbose linkMans minimatch@3.0.3
77148 silly build nopt@3.0.6
77149 info linkStuff nopt@3.0.6
77150 silly linkStuff nopt@3.0.6 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/node-gyp/node_modules as its parent node_modules
77151 verbose linkBins nopt@3.0.6
77152 verbose link bins [ { nopt: './bin/nopt.js' },
77152 verbose link bins   '/home/curtis/github/CurtLH/node_modules/npm/node_modules/node-gyp/node_modules/.bin',
77152 verbose link bins   false ]
77153 verbose linkMans nopt@3.0.6
77154 silly gentlyRm /home/curtis/github/CurtLH/node_modules/npm/node_modules/node-gyp/node_modules/.bin/nopt is being purged
77155 verbose gentlyRm don't care about contents; nuking /home/curtis/github/CurtLH/node_modules/npm/node_modules/node-gyp/node_modules/.bin/nopt
77156 silly build os-homedir@1.0.2
77157 info linkStuff os-homedir@1.0.2
77158 silly linkStuff os-homedir@1.0.2 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/nopt/node_modules/osenv/node_modules as its parent node_modules
77159 verbose linkBins os-homedir@1.0.2
77160 verbose linkMans os-homedir@1.0.2
77161 silly build os-tmpdir@1.0.2
77162 info linkStuff os-tmpdir@1.0.2
77163 silly linkStuff os-tmpdir@1.0.2 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/nopt/node_modules/osenv/node_modules as its parent node_modules
77164 verbose linkBins os-tmpdir@1.0.2
77165 verbose linkMans os-tmpdir@1.0.2
77166 silly build osenv@0.1.4
77167 info linkStuff osenv@0.1.4
77168 silly linkStuff osenv@0.1.4 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/nopt/node_modules as its parent node_modules
77169 verbose linkBins osenv@0.1.4
77170 verbose linkMans osenv@0.1.4
77171 silly build nopt@4.0.1
77172 info linkStuff nopt@4.0.1
77173 silly linkStuff nopt@4.0.1 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
77174 verbose linkBins nopt@4.0.1
77175 verbose link bins [ { nopt: './bin/nopt.js' },
77175 verbose link bins   '/home/curtis/github/CurtLH/node_modules/npm/node_modules/.bin',
77175 verbose link bins   false ]
77176 verbose linkMans nopt@4.0.1
77177 silly gentlyRm /home/curtis/github/CurtLH/node_modules/npm/node_modules/.bin/nopt is being purged
77178 verbose gentlyRm don't care about contents; nuking /home/curtis/github/CurtLH/node_modules/npm/node_modules/.bin/nopt
77179 silly build normalize-git-url@3.0.2
77180 info linkStuff normalize-git-url@3.0.2
77181 silly linkStuff normalize-git-url@3.0.2 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
77182 verbose linkBins normalize-git-url@3.0.2
77183 verbose linkMans normalize-git-url@3.0.2
77184 silly build builtin-modules@1.1.1
77185 info linkStuff builtin-modules@1.1.1
77186 silly linkStuff builtin-modules@1.1.1 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/normalize-package-data/node_modules/is-builtin-module/node_modules as its parent node_modules
77187 verbose linkBins builtin-modules@1.1.1
77188 verbose linkMans builtin-modules@1.1.1
77189 silly build is-builtin-module@1.0.0
77190 info linkStuff is-builtin-module@1.0.0
77191 silly linkStuff is-builtin-module@1.0.0 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/normalize-package-data/node_modules as its parent node_modules
77192 verbose linkBins is-builtin-module@1.0.0
77193 verbose linkMans is-builtin-module@1.0.0
77194 silly build npm-cache-filename@1.0.2
77195 info linkStuff npm-cache-filename@1.0.2
77196 silly linkStuff npm-cache-filename@1.0.2 has /home/curtis/github/CurtLH/node_modules/npm/node_modules as its parent node_modules
77197 verbose linkBins npm-cache-filename@1.0.2
77198 verbose linkMans npm-cache-filename@1.0.2
77199 silly build core-util-is@1.0.2
77200 info linkStuff core-util-is@1.0.2
77201 silly linkStuff core-util-is@1.0.2 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/npm-registry-client/node_modules/concat-stream/node_modules/readable-stream/node_modules as its parent node_modules
77202 verbose linkBins core-util-is@1.0.2
77203 verbose linkMans core-util-is@1.0.2
77204 silly build isarray@1.0.0
77205 info linkStuff isarray@1.0.0
77206 silly linkStuff isarray@1.0.0 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/npm-registry-client/node_modules/concat-stream/node_modules/readable-stream/node_modules as its parent node_modules
77207 verbose linkBins isarray@1.0.0
77208 verbose linkMans isarray@1.0.0
77209 silly build process-nextick-args@1.0.7
77210 info linkStuff process-nextick-args@1.0.7
77211 silly linkStuff process-nextick-args@1.0.7 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/npm-registry-client/node_modules/concat-stream/node_modules/readable-stream/node_modules as its parent node_modules
77212 verbose linkBins process-nextick-args@1.0.7
77213 verbose linkMans process-nextick-args@1.0.7
77214 silly build string_decoder@0.10.31
77215 info linkStuff string_decoder@0.10.31
77216 silly linkStuff string_decoder@0.10.31 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/npm-registry-client/node_modules/concat-stream/node_modules/readable-stream/node_modules as its parent node_modules
77217 verbose linkBins string_decoder@0.10.31
77218 verbose linkMans string_decoder@0.10.31
77219 silly build util-deprecate@1.0.2
77220 info linkStuff util-deprecate@1.0.2
77221 silly linkStuff util-deprecate@1.0.2 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/npm-registry-client/node_modules/concat-stream/node_modules/readable-stream/node_modules as its parent node_modules
77222 verbose linkBins util-deprecate@1.0.2
77223 verbose linkMans util-deprecate@1.0.2
77224 silly build readable-stream@2.0.6
77225 info linkStuff readable-stream@2.0.6
77226 silly linkStuff readable-stream@2.0.6 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/npm-registry-client/node_modules/concat-stream/node_modules as its parent node_modules
77227 verbose linkBins readable-stream@2.0.6
77228 verbose linkMans readable-stream@2.0.6
77229 silly build typedarray@0.0.6
77230 info linkStuff typedarray@0.0.6
77231 silly linkStuff typedarray@0.0.6 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/npm-registry-client/node_modules/concat-stream/node_modules as its parent node_modules
77232 verbose linkBins typedarray@0.0.6
77233 verbose linkMans typedarray@0.0.6
77234 silly build concat-stream@1.5.2
77235 info linkStuff concat-stream@1.5.2
77236 silly linkStuff concat-stream@1.5.2 has /home/curtis/github/CurtLH/node_modules/npm/node_modules/npm-registry-client/node_modules as its parent node_modules
77237 verbose linkBins concat-stream@1.5.2
77238 verbose linkMans concat-stream@1.5.2
77239 silly build npm-user-validate@0.1.5
77240 info linkStuff npm-user-validate@0.1.5
